time (s),U,V,W
13.125,-7.95,2.21,0.61
13.15625,-7.21,2.69,2.22
13.1875,-8.29,2.47,0.5
13.21875,-8.52,1.83,0.76
13.25,-8.42,1.9,0.69
13.28125,-7.31,1.95,1.02
13.3125,-8.12,2.25,0.75
13.34375,-8.68,1.87,1.09
13.375,-7.51,2.2,1.43
13.40625,-7.99,2.45,1.18
13.4375,-7.7,2.01,1.48
13.46875,-7.91,1.94,0.9
13.5,-7.82,1.78,1.88
13.53125,-7.8,1.66,1.6
13.5625,-7.67,1.58,0.67
13.59375,-8.13,1.9,1.06
13.625,-7.23,3,0.78
13.65625,-7.78,1.88,1.32
13.6875,-7.63,1.45,1.39
13.71875,-7.27,1.42,1
13.75,-7.11,1.85,1.37
13.78125,-8.06,1.61,0.77
13.8125,-8.65,1.64,1.23
13.84375,-6.48,1.97,0.66
13.875,-7.91,1.6,1.19
13.90625,-7.77,0.97,1.06
13.9375,-7.22,2.7,1.52
13.96875,-6.87,1.62,0.46
14,-7.1,2.29,1.36
14.03125,-7.13,2.5,1.17
14.0625,-7.73,2.43,0.49
14.09375,-8,1.69,0.84
14.125,-7.37,2.22,0.22
14.15625,-8.03,1.99,0.51
14.1875,-8.76,2.24,0.14
14.21875,-8.11,2.18,-0.26
14.25,-8.68,1.68,0.26
14.28125,-8.72,1.14,-0.28
14.3125,-8.32,1.69,0.06
14.34375,-8.18,2.03,0.11
14.375,-8.12,1.64,-0.08
14.40625,-9.08,0.64,-0.33
14.4375,-8.5,0.83,0.1
14.46875,-9.58,1.19,-0.23
14.5,-8.08,1.54,-0.65
14.53125,-8.84,0.29,-0.67
14.5625,-8.43,1.94,-0.46
14.59375,-9.02,0.93,-0.74
14.625,-7.65,1.88,-0.55
14.65625,-8.13,1.22,-0.25
14.6875,-8.1,1.5,-0.43
14.71875,-7.42,1.72,-0.72
14.75,-8.57,1.23,-0.59
14.78125,-7.87,0.62,-0.08
14.8125,-7.72,0.37,-1.05
14.84375,-8.5,1.11,-0.18
14.875,-8.35,0.71,-0.39
14.90625,-8.05,0.83,-0.79
14.9375,-8.28,0.24,-0.61
14.96875,-7.82,1.21,-0.36
15,-8.43,0.76,-1.02
15.03125,-7.66,0.12,-0.93
15.0625,-8.53,0.3,-0.76
15.09375,-7.64,0.45,-0.72
15.125,-8.75,1.02,-0.75
15.15625,-8.7,0.75,-0.77
15.1875,-8.09,0.85,-1.15
15.21875,-8.55,0.78,-0.5
15.25,-7.72,1.02,-1.11
15.28125,-8.65,1.39,-0.97
